CNPJ,RAZÃO,FANTASIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,ESTADO,BANDEIRA,PRODUTO,UNIDADE_DE_MEDIDA,PRECO_VENDA,DATA_DA_COLETA
2432446000110,ROMA-GAS COMERCIO DE GAS LTDA,,RUA BIGUATINGA,55,,JARDIM PRIMAVERA,86702430,ARAPONGAS,PARANA,ULTRAGAZ,GLP,R$ / 13 kg,109.9,2026-06-08
2434094000132,GAS REAL ARAGUARI LTDA,,AVENIDA CEL. BELCHIOR DE GODOY,283,,SANTA TEREZINHA,38442239,ARAGUARI,MINAS GERAIS,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,110.0,2026-06-11
2434431000191,S.L. MARIZ,LIDER GÁS  MERCEARIA PALMEIRAS,RUAOUTOR WERNA,404,,BELA VISTA,35790000,CURVELO,MINAS GERAIS,BRANCA,GLP,R$ / 13 kg,99.0,2026-06-10
2449330000194,CESAR  BEZERRA  PONTES-ME,C,AVENIDA FLORESTA,25,A,ARTHUR LUNDGREN I,53417110,PAULISTA,PERNAMBUCO,BAHIANA,GLP,R$ / 13 kg,100.0,2026-06-09
2514788000180,IMPERIAL COM E TRANSPORTE DE GÁS LTDA.,,RUA VIGÁRIO CORREA,434,,CORREAS,25720320,PETROPOLIS,RIO DE JANEIRO,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,110.0,2026-06-09
2547183000195,EKIGAS COMERCIO DE GAS LTDA,,RUA A,79,LOT G DOS SANTOS,JEQUIEZINHO,45202130,JEQUIE,BAHIA,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,104.99,2026-06-09
2550672000287,SPINDOLA GAS LTDA,,AVENIDA ADERSON ALVES FERREIRA,1922,,BARCELONA,64260000,PIRIPIRI,PIAUI,NACIONAL GÁS BUTANO,GLP,R$ / 13 kg,130.0,2026-06-09
2636146000234,FAGUNDES COMERCIO DE GAS LTDA,,ESTRADA PAULINO PINTO DE GODOY (LOT C PEQUI),208,,CAPAO DO PEQUI,78134252,VARZEA GRANDE,MATO GROSSO,BRANCA,GLP,R$ / 13 kg,130.0,2026-06-09
2643995000134,PALLADINO GAS ITATIBA LTDA EPP,PALLADINO GÁS E ÁGUA,AVENIDA CAMPINAS,410,,JD CEL PEROBA,13256500,ITATIBA,SAO PAULO,ULTRAGAZ,GLP,R$ / 13 kg,115.0,2026-06-12
2665672000141,VICENTE LUIZ PEREIRA I,,AVENIDA SANTA MARIA,246,QD. 05 LOTE 05,SETOR SUL,75380000,TRINDADE,GOIAS,BRANCA,GLP,R$ / 13 kg,110.0,2026-06-09
2668877000180,GLP DISTRIBUIDORA MINASGÁS LTDA,,RUA ALFA,1080,,CONJ. SANDOVAL AZEVEDO,32230330,CONTAGEM,MINAS GERAIS,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,115.0,2026-06-08
2678102000277,FRAYGAS COMERCIO E TRANSPORTES LTDA,FRAYGAS,RUA FERNANDO EGGER,SN,,CENTRO,89562006,VIDEIRA,SANTA CATARINA,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,127.0,2026-06-10
2685890000148,LUCIANO RODRIGUES COSTA,LUDI COMERCIAL,RUA GONÇALVES CEZIMBRA,22,,PITUAÇU,41741155,SALVADOR,BAHIA,BAHIANA,GLP,R$ / 13 kg,143.0,2026-06-10
2801837000165,RAPI-DEZ COMÉRCIO DE GÁS LTDA - ME,RAPIDEZ,AVENIDA  CACHOEIRA,169,,VILA PINDORAMA,6413000,BARUERI,SAO PAULO,ULTRAGAZ,GLP,R$ / 13 kg,135.0,2026-06-08
2811485000129,MERCANTIL CARDOSO RIBEIRO LTDA ME, ,AVENIDA PIO XII,1666,,VILA VIRGÍNIA,14030240,RIBEIRAO PRETO,SAO PAULO,ULTRAGAZ,GLP,R$ / 13 kg,120.0,2026-06-08
